State,Region,Date,Year,Year_Label,Month,MedianHomeValue,MedianHouseholdIncome,PriceToIncomeRatio,AffordabilityCategory,SizeRank
Alabama,South,2009-04-30,2009,2009,4,132393.05,40645,3.257,5 - Affordable (Under 3.5x),23
Alabama,South,2009-05-31,2009,2009,5,131793.93,40645,3.243,5 - Affordable (Under 3.5x),23
Alabama,South,2009-06-30,2009,2009,6,131167.19,40645,3.227,5 - Affordable (Under 3.5x),23
Alabama,South,2009-07-31,2009,2009,7,130567.96,40645,3.212,5 - Affordable (Under 3.5x),23
Alabama,South,2009-08-31,2009,2009,8,129946.78,40645,3.197,5 - Affordable (Under 3.5x),23
Alabama,South,2009-09-30,2009,2009,9,129354.13,40645,3.183,5 - Affordable (Under 3.5x),23
Alabama,South,2009-10-31,2009,2009,10,128862.36,40645,3.17,5 - Affordable (Under 3.5x),23
Alabama,South,2009-11-30,2009,2009,11,128462.41,40645,3.161,5 - Affordable (Under 3.5x),23
Alabama,South,2009-12-31,2009,2009,12,128135.14,40645,3.153,5 - Affordable (Under 3.5x),23
Alabama,South,2010-01-31,2010,2010,1,127933.7,41670,3.07,5 - Affordable (Under 3.5x),23
Alabama,South,2010-02-28,2010,2010,2,127789.84,41670,3.067,5 - Affordable (Under 3.5x),23
Alabama,South,2010-03-31,2010,2010,3,127518.33,41670,3.06,5 - Affordable (Under 3.5x),23
Alabama,South,2010-04-30,2010,2010,4,127133.72,41670,3.051,5 - Affordable (Under 3.5x),23
Alabama,South,2010-05-31,2010,2010,5,126677.95,41670,3.04,5 - Affordable (Under 3.5x),23
Alabama,South,2010-06-30,2010,2010,6,126223.15,41670,3.029,5 - Affordable (Under 3.5x),23
Alabama,South,2010-07-31,2010,2010,7,125631.43,41670,3.015,5 - Affordable (Under 3.5x),23
Alabama,South,2010-08-31,2010,2010,8,124980.96,41670,2.999,5 - Affordable (Under 3.5x),23
Alabama,South,2010-09-30,2010,2010,9,124385.51,41670,2.985,5 - Affordable (Under 3.5x),23
Alabama,South,2010-10-31,2010,2010,10,123904.59,41670,2.973,5 - Affordable (Under 3.5x),23
Alabama,South,2010-11-30,2010,2010,11,123345.81,41670,2.96,5 - Affordable (Under 3.5x),23
Alabama,South,2010-12-31,2010,2010,12,122687.88,41670,2.944,5 - Affordable (Under 3.5x),23
Alabama,South,2011-01-31,2011,2011,1,121985.26,43180,2.825,5 - Affordable (Under 3.5x),23
Alabama,South,2011-02-28,2011,2011,2,121375.38,43180,2.811,5 - Affordable (Under 3.5x),23
Alabama,South,2011-03-31,2011,2011,3,120945.0,43180,2.801,5 - Affordable (Under 3.5x),23
Alabama,South,2011-04-30,2011,2011,4,120601.4,43180,2.793,5 - Affordable (Under 3.5x),23
Alabama,South,2011-05-31,2011,2011,5,120339.37,43180,2.787,5 - Affordable (Under 3.5x),23
Alabama,South,2011-06-30,2011,2011,6,120061.84,43180,2.78,5 - Affordable (Under 3.5x),23
Alabama,South,2011-07-31,2011,2011,7,119757.02,43180,2.773,5 - Affordable (Under 3.5x),23
Alabama,South,2011-08-31,2011,2011,8,119446.73,43180,2.766,5 - Affordable (Under 3.5x),23
Alabama,South,2011-09-30,2011,2011,9,119096.17,43180,2.758,5 - Affordable (Under 3.5x),23
Alabama,South,2011-10-31,2011,2011,10,118733.41,43180,2.75,5 - Affordable (Under 3.5x),23
Alabama,South,2011-11-30,2011,2011,11,118273.37,43180,2.739,5 - Affordable (Under 3.5x),23
Alabama,South,2011-12-31,2011,2011,12,117888.24,43180,2.73,5 - Affordable (Under 3.5x),23
Alabama,South,2012-01-31,2012,2012,1,117744.81,44419,2.651,5 - Affordable (Under 3.5x),23
Alabama,South,2012-02-29,2012,2012,2,117807.94,44419,2.652,5 - Affordable (Under 3.5x),23
Alabama,South,2012-03-31,2012,2012,3,118138.89,44419,2.66,5 - Affordable (Under 3.5x),23
Alabama,South,2012-04-30,2012,2012,4,118645.08,44419,2.671,5 - Affordable (Under 3.5x),23
Alabama,South,2012-05-31,2012,2012,5,119555.06,44419,2.692,5 - Affordable (Under 3.5x),23
Alabama,South,2012-06-30,2012,2012,6,120855.7,44419,2.721,5 - Affordable (Under 3.5x),23
Alabama,South,2012-07-31,2012,2012,7,122225.58,44419,2.752,5 - Affordable (Under 3.5x),23
Alabama,South,2012-08-31,2012,2012,8,123244.66,44419,2.775,5 - Affordable (Under 3.5x),23
Alabama,South,2012-09-30,2012,2012,9,124190.1,44419,2.796,5 - Affordable (Under 3.5x),23
Alabama,South,2012-10-31,2012,2012,10,125030.24,44419,2.815,5 - Affordable (Under 3.5x),23
Alabama,South,2012-11-30,2012,2012,11,125928.5,44419,2.835,5 - Affordable (Under 3.5x),23
Alabama,South,2012-12-31,2012,2012,12,126541.28,44419,2.849,5 - Affordable (Under 3.5x),23
Alabama,South,2013-01-31,2013,2013,1,126832.91,46596,2.722,5 - Affordable (Under 3.5x),23
Alabama,South,2013-02-28,2013,2013,2,126995.05,46596,2.725,5 - Affordable (Under 3.5x),23
Alabama,South,2013-03-31,2013,2013,3,127235.34,46596,2.731,5 - Affordable (Under 3.5x),23
Alabama,South,2013-04-30,2013,2013,4,127707.07,46596,2.741,5 - Affordable (Under 3.5x),23
Alabama,South,2013-05-31,2013,2013,5,128377.08,46596,2.755,5 - Affordable (Under 3.5x),23
Alabama,South,2013-06-30,2013,2013,6,128960.13,46596,2.768,5 - Affordable (Under 3.5x),23
Alabama,South,2013-07-31,2013,2013,7,129353.1,46596,2.776,5 - Affordable (Under 3.5x),23
Alabama,South,2013-08-31,2013,2013,8,129710.87,46596,2.784,5 - Affordable (Under 3.5x),23
Alabama,South,2013-09-30,2013,2013,9,130008.75,46596,2.79,5 - Affordable (Under 3.5x),23
Alabama,South,2013-10-31,2013,2013,10,130495.26,46596,2.801,5 - Affordable (Under 3.5x),23
Alabama,South,2013-11-30,2013,2013,11,130799.86,46596,2.807,5 - Affordable (Under 3.5x),23
Alabama,South,2013-12-31,2013,2013,12,131193.65,46596,2.816,5 - Affordable (Under 3.5x),23
Alabama,South,2014-01-31,2014,2014,1,131535.88,47801,2.752,5 - Affordable (Under 3.5x),23
Alabama,South,2014-02-28,2014,2014,2,132044.31,47801,2.762,5 - Affordable (Under 3.5x),23
Alabama,South,2014-03-31,2014,2014,3,132433.1,47801,2.771,5 - Affordable (Under 3.5x),23
Alabama,South,2014-04-30,2014,2014,4,132824.69,47801,2.779,5 - Affordable (Under 3.5x),23
Alabama,South,2014-05-31,2014,2014,5,133182.45,47801,2.786,5 - Affordable (Under 3.5x),23
Alabama,South,2014-06-30,2014,2014,6,133444.47,47801,2.792,5 - Affordable (Under 3.5x),23
Alabama,South,2014-07-31,2014,2014,7,133753.72,47801,2.798,5 - Affordable (Under 3.5x),23
Alabama,South,2014-08-31,2014,2014,8,134026.37,47801,2.804,5 - Affordable (Under 3.5x),23
Alabama,South,2014-09-30,2014,2014,9,134164.44,47801,2.807,5 - Affordable (Under 3.5x),23
Alabama,South,2014-10-31,2014,2014,10,133927.73,47801,2.802,5 - Affordable (Under 3.5x),23
Alabama,South,2014-11-30,2014,2014,11,133653.06,47801,2.796,5 - Affordable (Under 3.5x),23
