RegionName,Year,Home_price,MORTGAGE30US,Median_Income
Indiana,2011,110182.190311883,4.447884615,50050
Wisconsin,2016,167756.403156736,3.654038462,59040
Hawaii,2022,820544.062544189,5.344038462,74580
Florida,2017,214322.941770956,3.989807692,61140
Maryland,2013,253186.388676486,3.975576923,53590
South Carolina,2007,164264.750405785,6.337307692,50230
Connecticut,2010,252207.420928813,4.689807692,49280
Wisconsin,2024,297035.979696773,6.721153846,83730
Hawaii,2010,414434.805587346,4.689807692,49280
Wyoming,2001,,6.967884615,42230
Nebraska,2017,156927.661513704,3.989807692,61140
Wisconsin,2001,126357.675212262,6.967884615,42230
Vermont,2005,184815.926642024,5.866730769,46330
Minnesota,2002,161575.242546628,6.537307692,42410
Utah,2021,445999.388818453,2.957692308,70780
North Carolina,2001,136191.3024732,6.967884615,42230
Iowa,2025,221679.387618275,6.595094340,
Wyoming,2024,337581.065305511,6.721153846,83730
Georgia,2021,260237.74894081,2.957692308,70780
Iowa,2002,99144.909082098,6.537307692,42410
Colorado,2006,238851.984085897,6.413269231,48200
New Mexico,2005,155072.37583974,5.866730769,46330
Florida,2022,374163.719497079,5.344038462,74580
Colorado,2018,374736.390700417,4.544615385,63180
Maine,2017,204483.30059775,3.989807692,61140
Arizona,2007,270756.041857208,6.337307692,50230
Idaho,2011,145230.042014412,4.447884615,50050
Arizona,2002,153869.558598129,6.537307692,42410
New York,2025,487386.484554113,6.595094340,
South Dakota,2020,215192.630209382,3.111698113,68010
Kentucky,2009,114566.608398535,5.036538462,49780
Wyoming,2000,,8.053461538,41990
Oregon,2014,236798.946993079,4.168867925,53660
Ohio,2025,231670.807349897,6.595094340,
Vermont,2012,210476.476899555,3.6575,51020
Maine,2025,394118.903524743,6.595094340,
Utah,2005,184380.434899604,5.866730769,46330
New Hampshire,2019,277985.180643481,3.935769231,68700
District of Columbia,2018,549530.393814782,4.544615385,63180
North Dakota,2006,,6.413269231,48200
Texas,2020,224604.842934429,3.111698113,68010
Colorado,2004,227185.40000455,5.839230769,44330
Texas,2009,140771.912106917,5.036538462,49780
Minnesota,2019,246372.922748282,3.935769231,68700
Maryland,2015,273334.330410793,3.850576923,56520
Illinois,2025,272336.489175583,6.595094340,
District of Columbia,2011,357732.097015047,4.447884615,50050
Iowa,2008,120115.25431244,6.027169811,50300
South Carolina,2013,143058.690161823,3.975576923,53590
District of Columbia,2006,387758.551766633,6.413269231,48200
District of Columbia,2015,475926.947432889,3.850576923,56520
New Jersey,2022,453529.243717583,5.344038462,74580
Michigan,2013,104924.547128588,3.975576923,53590
Kentucky,2022,198302.233208154,5.344038462,74580
Kentucky,2003,102334.72769981,5.826981132,43320
Connecticut,2014,233102.387867502,4.168867925,53660
New Hampshire,2002,177396.850309165,6.537307692,42410
New Jersey,2009,309931.6239461,5.036538462,49780
Indiana,2015,121279.7647428,3.850576923,56520
Washington,2021,507801.844172619,2.957692308,70780
West Virginia,2026,169418.405670352,6.084545455,
Kentucky,2026,228550.3289552,6.084545455,
Indiana,2026,249196.804303604,6.084545455,
Nevada,2021,365573.300913351,2.957692308,70780
New York,2015,272446.47309337,3.850576923,56520
Illinois,2010,162774.640219599,4.689807692,49280
Michigan,2023,227290.666860165,6.806730769,80610
Illinois,2015,162198.711369882,3.850576923,56520
Georgia,2010,138015.093868307,4.689807692,49280
Minnesota,2021,292067.714895924,2.957692308,70780
South Dakota,2024,297749.049051851,6.721153846,83730
New Mexico,2002,133575.752496513,6.537307692,42410
Delaware,2005,240657.620396913,5.866730769,46330
Delaware,2009,247291.457102914,5.036538462,49780
Kansas,2005,110848.523213069,5.866730769,46330
Michigan,2016,133684.009217011,3.654038462,59040
Connecticut,2018,248581.826837394,4.544615385,63180
Kentucky,2007,115864.740086471,6.337307692,50230
Texas,2016,180164.235356023,3.654038462,59040
New Hampshire,2011,205866.379150517,4.447884615,50050
Alabama,2002,108003.467139909,6.537307692,42410
Kentucky,2021,178830.759021849,2.957692308,70780
Minnesota,2023,320303.460874068,6.806730769,80610
South Carolina,2021,234710.957284234,2.957692308,70780
Indiana,2020,165629.767868359,3.111698113,68010
Iowa,2012,117464.766968323,3.6575,51020
South Dakota,2005,129699.100765613,5.866730769,46330
Ohio,2023,209395.760749994,6.806730769,80610
North Carolina,2004,145886.494076099,5.839230769,44330
Hawaii,2019,605524.866345054,3.935769231,68700
Arkansas,2023,205064.659955616,6.806730769,80610
